id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
42,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-router/src/views/Sitemap.tsx,FileItem,Too many props,"Number of props: 14; Props: route,level,parents,isInitial,flex,display,pressed,hovered,paddingLeft,backgroundColor,opacity,flexDirection,alignItems,marginRight",,
43,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/istanbul-reports/lib/html-spa/src/index.js,App,Large Component,LOC: 136; Number of props: 5; Number of attributes: 0; Number of methods: 0,,
44,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-helmet-async/src/index.js,Helmet,Large Component,LOC: 233; Number of props: 27; Number of attributes: 3; Number of methods: 7,,
45,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-helmet-async/src/index.js,Helmet,Too many props,"Number of props: 27; Props: base,bodyAttributes,children,defaultTitle,defer,encodeSpecialCharacters,htmlAttributes,link,meta,noscript,onChangeClientState,script,style,title,titleAttributes,titleTemplate,prioritizeSeoTags,helmetData,innerHTML,cssText,child,arrayTypeChildren,newChildProps,nestedChildren,newProps,arrayChildName,type",,
46,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-helmet-async/src/index.js,Helmet,JSX outside the render method,"Methods with JSX: shouldComponentUpdate,mapNestedChildrenToProps,flattenArrayTypeChildren,mapObjectTypeChildren,mapArrayTypeChildrenToProps,warnOnInvalidChildren,mapChildrenToProps",,
47,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Components/RefreshControl/RefreshControl.js,RefreshControl,Force Update,"Line 191: this.forceUpdate();
",,
48,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Components/RefreshControl/RefreshControl.js,RefreshControl,JSX outside the render method,"Methods with JSX: componentDidMount,componentDidUpdate,_onRefresh,_setNativeRef",,
49,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/Inspector.js,Inspector,Large Component,LOC: 216; Number of props: 19; Number of attributes: 3; Number of methods: 11,,
50,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/Inspector.js,Inspector,Too many props,"Number of props: 19; Props: devtoolsAgent,hierarchy,panelPos,inspecting,perfing,inspected,selection,inspectedView,networking,measure,props,source,selectedIndex,frame,pointerY,touchedViewTag,closestInstance,bottom,top",,
51,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/Inspector.js,Inspector,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,UNSAFE_componentWillReceiveProps,_attachToDevtools,_onAgentShutdown,setSelection,onTouchPoint,setPerfing,setInspecting,setTouchTargeting,setNetworking",,
52,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/NetworkOverlay.js,NetworkOverlay,Large Component,LOC: 412; Number of props: 14; Number of attributes: 6; Number of methods: 13,,
53,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/NetworkOverlay.js,NetworkOverlay,Too many props,"Number of props: 14; Props: offset,visibleLength,contentLength,detailRowId,requests,id,type,method,url,protocols,item,index,y,animated",,
54,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/NetworkOverlay.js,NetworkOverlay,JSX outside the render method,"Methods with JSX: _enableXHRInterception,_enableWebSocketInterception,componentDidMount,componentWillUnmount,_renderItem,_renderItemDetail,_indicateAdditionalRequests,_captureRequestsListView,_requestsListViewOnScroll,_pressRow,_scrollDetailToTop,_closeButtonClicked,_getRequestIndexByXHRID",,
55,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Lists/FlatList.js,FlatList,Large Component,LOC: 393; Number of props: 20; Number of attributes: 4; Number of methods: 21,,
56,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Lists/FlatList.js,FlatList,Too many props,"Number of props: 20; Props: viewabilityConfigCallbackPairs,viewabilityConfig,onViewableItemsChanged,numColumns,getItem,getItemCount,horizontal,columnWrapperStyle,keyExtractor,item,key,index,viewableItems,changed,separators,ListItemComponent,renderItem,removeClippedSubviews,strictMode,extraData",,
57,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Lists/FlatList.js,FlatList,JSX outside the render method,"Methods with JSX: scrollToEnd,scrollToIndex,scrollToItem,scrollToOffset,recordInteraction,flashScrollIndicators,getScrollResponder,getNativeScrollRef,getScrollableNode,setNativeProps,componentDidUpdate,_captureRef,_checkProps,_getItem,_getItemCount,_keyExtractor,_pushMultiColumnViewable,_createOnViewableItemsChanged,_renderer",,
58,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Modal/Modal.js,Modal,Large Component,LOC: 111; Number of props: 14; Number of attributes: 4; Number of methods: 4,,
59,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Modal/Modal.js,Modal,Too many props,"Number of props: 14; Props: visible,hardwareAccelerated,onDismiss,backgroundColor,animationType,presentationStyle,transparent,children,onRequestClose,onShow,statusBarTranslucent,supportedOrientations,onOrientationChange,testID",,
60,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Modal/Modal.js,Modal,JSX outside the render method,"Methods with JSX: componentDidMount,componentWillUnmount,componentDidUpdate,_shouldSetResponder",,
61,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactFabric-prod.js,ChildReconciler,Large Component,LOC: 609; Number of props: 1; Number of attributes: 0; Number of methods: 16,,
62,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactFabric-profiling.js,ChildReconciler,Large Component,LOC: 609; Number of props: 1; Number of attributes: 0; Number of methods: 16,,
63,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactNativeRenderer-prod.js,ChildReconciler,Large Component,LOC: 609; Number of props: 1; Number of attributes: 0; Number of methods: 16,,
64,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactNativeRenderer-profiling.js,ChildReconciler,Large Component,LOC: 609; Number of props: 1; Number of attributes: 0; Number of methods: 16,,
65,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/jest/mockModal.js,ModalMock,Inheritance instead of composition,SuperClass: BaseComponent,,
66,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/jest/mockScrollView.js,ScrollViewMock,Inheritance instead of composition,SuperClass: BaseComponent,,
67,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/DrawerLayout.js,DrawerLayout,Large Component,LOC: 493; Number of props: 51; Number of attributes: 0; Number of methods: 1,,
68,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/DrawerLayout.js,DrawerLayout,Too many props,"Number of props: 51; Props: drawerPosition,drawerWidth,drawerType,dragX,touchX,drawerTranslation,containerWidth,inputRange,outputRange,extrapolate,useNativeDriver,onDrawerSlide,nativeEvent,drawerState,keyboardDismissMode,hideStatusBar,statusBarAnimation,drawerLockMode,translationX,velocityX,x,accessibilityViewIsModal,pointerEvents,minSwipeDistance,edgeWidth,left,width,right,hitSlop,activeOffsetX,useNativeAnimations,finished,drawerOpened,opacity,backgroundColor,onHandlerStateChange,ref,style,drawerBackgroundColor,drawerContainerStyle,contentContainerStyle,transform,flexDirection,onLayout,importantForAccessibility,children,userSelect,failOffsetY,onGestureEvent,enableTrackpadTwoFingerGesture,enabled",,
69,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/DrawerLayout.js,DrawerLayout,Force Update,"Line 344: this.forceUpdate();
Line 352: this.forceUpdate();
",,
70,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/Swipeable.js,Swipeable,Large Component,LOC: 335; Number of props: 32; Number of attributes: 0; Number of methods: 1,,
71,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/Swipeable.js,Swipeable,Too many props,"Number of props: 32; Props: friction,overshootFriction,dragX,rowTranslation,leftWidth,rowWidth,rightOffset,overshootLeft,overshootRight,inputRange,outputRange,extrapolate,nativeEvent,velocityX,translationX,rowState,leftThreshold,rightThreshold,finished,useNativeDriver,children,renderLeftActions,renderRightActions,dragOffsetFromLeftEdge,dragOffsetFromRightEdge,style,onLayout,activeOffsetX,onGestureEvent,onHandlerStateChange,enabled,pointerEvents",,
72,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/GenericTouchable.js,GenericTouchable,Large Component,LOC: 238; Number of props: 30; Number of attributes: 0; Number of methods: 9,,
73,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/GenericTouchable.js,GenericTouchable,Too many props,"Number of props: 30; Props: nativeEvent,state,delayPressIn,onLongPress,delayLongPress,delayPressOut,hitSlop,top,left,bottom,right,accessible,accessibilityLabel,accessibilityHint,accessibilityRole,accessibilityState,accessibilityActions,onAccessibilityAction,nativeID,onLayout,style,onHandlerStateChange,onGestureEvent,shouldActivateOnStart,disallowInterruption,testID,touchSoundDisabled,enabled,extraButtonProps,children",,
74,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/handlers/createHandler.js,Handler,Large Component,LOC: 311; Number of props: 22; Number of attributes: 0; Number of methods: 5,,
75,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/handlers/createHandler.js,Handler,Too many props,"Number of props: 22; Props: name,allowedProps,config,transformProps,customNativeProps,onGestureEvent,onHandlerStateChange,stateEventName,children,ref,onGestureStateChange,allowTouches,id,onGestureHandlerEvent,onGestureHandlerStateChange,key,color,hitSlop,collapsable,handlerType,handlerTag,testID",,
76,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/module/handlers/gestures/GestureDetector.js,GestureDetector,Large Component,LOC: 151; Number of props: 20; Number of attributes: 0; Number of methods: 3,,
77,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/module/handlers/gestures/GestureDetector.js,GestureDetector,Too many props,"Number of props: 20; Props: gesture,userSelect,firstRender,viewRef,previousViewTag,forceReattach,onGestureHandlerEvent,onGestureHandlerStateChange,config,animatedEventHandler,animatedHandlers,firstExecution,useReanimatedHook,preparedGesture,gestureConfig,webEventHandlersRef,viewTag,mountedRef,ref,children",,
78,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/src/handlers/gestures/GestureDetector.tsx,GestureDetector,Large Component,LOC: 173; Number of props: 19; Number of attributes: 0; Number of methods: 3,,
79,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/src/handlers/gestures/GestureDetector.tsx,GestureDetector,Too many props,"Number of props: 19; Props: gesture,userSelect,firstRender,viewRef,previousViewTag,forceReattach,onGestureHandlerEvent,onGestureHandlerStateChange,config,animatedEventHandler,animatedHandlers,firstExecution,useReanimatedHook,preparedGesture,gestureConfig,webEventHandlersRef,viewTag,mountedRef,children",,
80,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/NativeSafeAreaProvider.web.js,NativeSafeAreaProvider,Large Component,LOC: 51; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
81,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/NativeSafeAreaProvider.web.js,NativeSafeAreaProvider,Too many props,"Number of props: 16; Props: children,style,onInsetsChange,paddingTop,paddingBottom,paddingLeft,paddingRight,top,bottom,left,right,x,y,width,height,nativeEvent",,
82,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/HeaderConfig.js,HeaderConfig,Large Component,LOC: 118; Number of props: 63; Number of attributes: 0; Number of methods: 0,,
83,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/HeaderConfig.js,HeaderConfig,Too many props,"Number of props: 63; Props: backButtonImage,backButtonInCustomView,direction,disableBackButtonMenu,headerBackTitle,headerBackTitleStyle,headerBackTitleVisible,headerCenter,headerHideBackButton,headerHideShadow,headerLargeStyle,headerLargeTitle,headerLargeTitleHideShadow,headerLargeTitleStyle,headerLeft,headerRight,headerShown,headerStyle,headerTintColor,headerTitle,headerTitleStyle,headerTopInsetEnabled,headerTranslucent,route,searchBar,title,colors,handleAttached,handleDetached,clearSubscription,createSubscription,onBackPress,isDisabled,onFocus,onClose,backgroundColor,backTitle,backTitleFontFamily,backTitleFontSize,backTitleVisible,blurEffect,color,hidden,hideBackButton,hideShadow,largeTitle,largeTitleBackgroundColor,largeTitleColor,largeTitleFontFamily,largeTitleFontSize,largeTitleFontWeight,largeTitleHideShadow,titleColor,titleFontFamily,titleFontSize,titleFontWeight,topInsetEnabled,translucent,onAttached,onDetached,tintColor,key,source",,
84,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/NativeStackView.js,RouteView,Large Component,LOC: 174; Number of props: 46; Number of attributes: 0; Number of methods: 0,,
85,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/NativeStackView.js,RouteView,Too many props,"Number of props: 46; Props: descriptors,route,index,navigation,stateKey,options,render,gestureEnabled,headerShown,hideKeyboardOnSwipe,homeIndicatorHidden,sheetAllowedDetents,sheetLargestUndimmedDetent,sheetGrabberVisible,sheetCornerRadius,sheetExpandsWhenScrolledToEdge,nativeBackButtonDismissalEnabled,navigationBarColor,navigationBarHidden,replaceAnimation,screenOrientation,statusBarAnimation,statusBarColor,statusBarHidden,statusBarStyle,statusBarTranslucent,swipeDirection,transitionDuration,freezeOnBlur,customAnimationOnSwipe,fullScreenSwipeEnabled,gestureResponseDistance,stackAnimation,stackPresentation,dark,key,enabled,isNativeStack,style,onHeaderBackButtonClicked,onWillAppear,onWillDisappear,onAppear,onDisappear,onDismissed,value",,
86,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/index.native.js,InnerScreen,Large Component,LOC: 121; Number of props: 19; Number of attributes: 0; Number of methods: 2,,
87,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/index.native.js,InnerScreen,Too many props,"Number of props: 19; Props: enabled,freezeOnBlur,sheetAllowedDetents,sheetLargestUndimmedDetent,sheetGrabberVisible,sheetCornerRadius,sheetExpandsWhenScrolledToEdge,active,activityState,children,isNativeStack,gestureResponseDistance,display,freeze,ref,onTransitionProgress,value,style,onComponentRef",,
88,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/index.native.js,SearchBar,Large Component,LOC: 39; Number of props: 1; Number of attributes: 0; Number of methods: 6,,
89,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.native.tsx,InnerScreen,Large Component,LOC: 142; Number of props: 24; Number of attributes: 4; Number of methods: 3,,
90,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.native.tsx,InnerScreen,Too many props,"Number of props: 24; Props: enabled,freezeOnBlur,sheetAllowedDetents,sheetLargestUndimmedDetent,sheetGrabberVisible,sheetCornerRadius,sheetExpandsWhenScrolledToEdge,active,activityState,children,isNativeStack,gestureResponseDistance,display,start,end,top,bottom,nativeEvent,useNativeDriver,progress,closing,goingForward,style,onComponentRef",,
91,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.native.tsx,SearchBar,Large Component,LOC: 65; Number of props: 0; Number of attributes: 1; Number of methods: 6,,
92,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.native.tsx,SearchBar,JSX outside the render method,"Methods with JSX: _callMethodWithRef,blur,focus,toggleCancelButton,clearText,setText",,
93,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Circle,Inheritance instead of composition,SuperClass: WebShape,,
94,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,ClipPath,Inheritance instead of composition,SuperClass: WebShape,,
95,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Defs,Inheritance instead of composition,SuperClass: WebShape,,
96,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Ellipse,Inheritance instead of composition,SuperClass: WebShape,,
97,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,G,Inheritance instead of composition,SuperClass: WebShape,,
98,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Image,Inheritance instead of composition,SuperClass: WebShape,,
99,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Line,Inheritance instead of composition,SuperClass: WebShape,,
100,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,LinearGradient,Inheritance instead of composition,SuperClass: WebShape,,
101,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Path,Inheritance instead of composition,SuperClass: WebShape,,
102,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Polygon,Inheritance instead of composition,SuperClass: WebShape,,
103,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Polyline,Inheritance instead of composition,SuperClass: WebShape,,
104,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,RadialGradient,Inheritance instead of composition,SuperClass: WebShape,,
105,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Rect,Inheritance instead of composition,SuperClass: WebShape,,
106,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Stop,Inheritance instead of composition,SuperClass: WebShape,,
107,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Svg,Inheritance instead of composition,SuperClass: WebShape,,
108,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Symbol,Inheritance instead of composition,SuperClass: WebShape,,
109,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Text,Inheritance instead of composition,SuperClass: WebShape,,
110,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,TSpan,Inheritance instead of composition,SuperClass: WebShape,,
111,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,TextPath,Inheritance instead of composition,SuperClass: WebShape,,
112,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Use,Inheritance instead of composition,SuperClass: WebShape,,
